"id","site","orig_id","run","outdir","mean_FD","mean_relative","age","sex","handedness","eyes","orig_site"
"beijing_sub33943","Beijing A","sub33943","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub33943_/scan_func_rest",0.133785688889,0.294544605046,20,"Female",NA,"Closed","beijing"
"beijing_sub38602","Beijing A","sub38602","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub38602_/scan_func_rest",0.0672367247556,0.163087729548,20,"Female",NA,"Closed","beijing"
"beijing_sub42843","Beijing A","sub42843","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub42843_/scan_func_rest",0.0390942110667,0.0909202005708,20,"Female",NA,"Closed","beijing"
"beijing_sub48563","Beijing A","sub48563","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub48563_/scan_func_rest",0.0422035109333,0.104697234816,20,"Female",NA,"Closed","beijing"
"beijing_sub62083","Beijing A","sub62083","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub62083_/scan_func_rest",0.145787115111,0.119426445785,20,"Female",NA,"Closed","beijing"
"beijing_sub67844","Beijing A","sub67844","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub67844_/scan_func_rest",0.173649642222,0.0766600110306,20,"Female",NA,"Closed","beijing"
"beijing_sub73098","Beijing A","sub73098","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub73098_/scan_func_rest",0.0831327625778,0.0569307199086,20,"Female",NA,"Closed","beijing"
"beijing_sub73279","Beijing A","sub73279","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub73279_/scan_func_rest",0.164973445333,0.275431697122,20,"Female",NA,"Closed","beijing"
"beijing_sub80551","Beijing A","sub80551","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub80551_/scan_func_rest",0.0703985235556,0.120045601523,20,"Female",NA,"Closed","beijing"
"beijing_sub82826","Beijing A","sub82826","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub82826_/scan_func_rest",0.0562327075556,0.104725345524,20,"Female",NA,"Closed","beijing"
