"","site","id","age","sex","handedness","eyes"
"517","cambridge","sub62424",20,"F",NA,NA
"518","cambridge","sub62732",18,"F",NA,NA
"519","cambridge","sub62908",26,"F",NA,NA
"520","cambridge","sub63412",19,"F",NA,NA
"521","cambridge","sub63661",23,"F",NA,NA
"522","cambridge","sub64308",20,"F",NA,NA
"523","cambridge","sub64985",18,"M",NA,NA
"524","cambridge","sub65373",18,"F",NA,NA
"525","cambridge","sub65682",21,"M",NA,NA
"526","cambridge","sub66351",18,"F",NA,NA
"527","cambridge","sub67117",20,"F",NA,NA
"528","cambridge","sub68101",21,"F",NA,NA
"529","cambridge","sub68425",20,"F",NA,NA
"530","cambridge","sub69287",18,"F",NA,NA
"531","cambridge","sub69315",21,"M",NA,NA
"532","cambridge","sub69397",20,"M",NA,NA
"533","cambridge","sub71849",21,"M",NA,NA
"534","cambridge","sub72068",18,"F",NA,NA
"535","cambridge","sub73317",19,"M",NA,NA
"536","cambridge","sub73399",18,"F",NA,NA
"537","cambridge","sub73477",22,"F",NA,NA
"538","cambridge","sub76631",19,"M",NA,NA
"539","cambridge","sub76745",20,"M",NA,NA
"540","cambridge","sub77337",19,"M",NA,NA
"541","cambridge","sub77435",19,"F",NA,NA
"542","cambridge","sub77598",22,"M",NA,NA
"543","cambridge","sub77989",22,"F",NA,NA
"544","cambridge","sub78547",19,"F",NA,NA
"545","cambridge","sub78552",19,"F",NA,NA
"546","cambridge","sub78614",21,"F",NA,NA
"547","cambridge","sub80557",22,"M",NA,NA
"548","cambridge","sub81289",19,"F",NA,NA
"549","cambridge","sub81524",24,"F",NA,NA
"550","cambridge","sub81562",21,"M",NA,NA
"551","cambridge","sub82113",19,"M",NA,NA
"552","cambridge","sub82213",20,"M",NA,NA
"553","cambridge","sub82435",20,"M",NA,NA
"554","cambridge","sub83409",18,"F",NA,NA
