"","iteration","subjects","effect.size","connections","method","sensitivity","specificity"
"452",1,150,0.2,2,"degree",0.34,0.96
"453",1,150,0.2,2,"mdmr",1,0.96
"454",1,150,0.3,2,"glm",1,0.953232323232323
"455",1,150,0.3,2,"degree",0.44,0.94
"456",1,150,0.3,2,"mdmr",1,0.98
"457",1,150,0.02,4,"glm",0.225,0.952448979591837
"458",1,150,0.02,4,"degree",0.04,0.94
"459",1,150,0.02,4,"mdmr",0.06,0.96
"460",1,150,0.04,4,"glm",0.76,0.953265306122449
"461",1,150,0.04,4,"degree",0.14,0.98
"462",1,150,0.04,4,"mdmr",0.64,0.98
"463",1,150,0.06,4,"glm",0.995,0.95265306122449
"464",1,150,0.06,4,"degree",0.22,0.96
"465",1,150,0.06,4,"mdmr",0.98,1
"466",1,150,0.08,4,"glm",1,0.952755102040816
"467",1,150,0.08,4,"degree",0.1,0.96
"468",1,150,0.08,4,"mdmr",1,0.98
"469",1,150,0.1,4,"glm",1,0.952857142857143
"470",1,150,0.1,4,"degree",0.32,0.96
"471",1,150,0.1,4,"mdmr",1,0.96
"472",1,150,0.15,4,"glm",1,0.95265306122449
"473",1,150,0.15,4,"degree",0.4,0.96
"474",1,150,0.15,4,"mdmr",1,0.96
"475",1,150,0.2,4,"glm",1,0.95234693877551
"476",1,150,0.2,4,"degree",0.58,0.94
"477",1,150,0.2,4,"mdmr",1,0.96
"478",1,150,0.3,4,"glm",1,0.953469387755102
"479",1,150,0.3,4,"degree",0.68,0.94
"480",1,150,0.3,4,"mdmr",1,1
"481",1,150,0.02,6,"glm",0.263333333333333,0.953814432989691
"482",1,150,0.02,6,"degree",0.04,0.94
"483",1,150,0.02,6,"mdmr",0.22,1
"484",1,150,0.04,6,"glm",0.793333333333333,0.952371134020619
"485",1,150,0.04,6,"degree",0.12,0.94
"486",1,150,0.04,6,"mdmr",0.78,1
"487",1,150,0.06,6,"glm",0.986666666666667,0.952680412371134
"488",1,150,0.06,6,"degree",0.22,0.96
"489",1,150,0.06,6,"mdmr",1,0.96
"490",1,150,0.08,6,"glm",1,0.95319587628866
"491",1,150,0.08,6,"degree",0.22,0.98
"492",1,150,0.08,6,"mdmr",1,0.94
"493",1,150,0.1,6,"glm",1,0.952886597938144
"494",1,150,0.1,6,"degree",0.38,0.94
"495",1,150,0.1,6,"mdmr",1,1
"496",1,150,0.15,6,"glm",1,0.95340206185567
"497",1,150,0.15,6,"degree",0.5,0.96
"498",1,150,0.15,6,"mdmr",1,0.96
"499",1,150,0.2,6,"glm",1,0.952886597938144
"500",1,150,0.2,6,"degree",0.66,0.96
"501",1,150,0.2,6,"mdmr",1,0.96
"502",1,150,0.3,6,"glm",1,0.952474226804124
